@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute iaccel_max numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accel_max10 numeric
@attribute accel_stddev10 numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute contuctor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3}

@data
1,'2018/04/05 13:43:09:200',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,'2018/04/05 13:43:09:403',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,'2018/04/05 13:43:09:605',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,'2018/04/05 13:43:09:808',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
5,'2018/04/05 13:43:10:013',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,'2018/04/05 13:43:10:216',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,'2018/04/05 13:43:10:416',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,'2018/04/05 13:43:10:619',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,'2018/04/05 13:43:10:821',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,'2018/04/05 13:43:11:024',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,'2018/04/05 13:43:11:227',1,1,0,0,0,20,1,0,0,0,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
